,title,director,cast,listed_in,description,lower
949,Monster High: Great Scarrier Reef,William Lau,"Larissa Galagher, Kate Higgins, Debi Derryberry, Salli Saffioti, America Young, Evan Smith, Lyndsy Kail, Rachel Staman, Cherami Leigh, Paula Rhodes, Erin Fitzgerald",Children & Family Movies,monster high parti lagoona pal suck reef shell come term flaw confront old frenemi,monster high: great scarrier reef
950,Monster High: New Ghoul at School,"Audu Paden, Eric Radomski","Kate Higgins, Salli Saffioti, Debi Derryberry, Laura Bailey, Yuri Lowenthal, Audu Paden, Troy Baker, Erin Fitzgerald",Children & Family Movies,insecur new student franki stein struggl fit monster high ultracool ghoul cleo nile hunki monster deuc rule roost,monster high: new ghoul at school
951,My Life as a Zucchini,Claude Barras,"Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud, Michel Vuillermoz, Raul Ribera, Estelle Hennard, Elliot Sanchez, Lou Wick, Brigitte Rosset, Natacha Koutchoumov, Monica Budde, Adrien Barazzone, Will Forte, Nick Offerman, Ellen Page, Amy Sedaris","Comedies, Dramas, International Movies",9yearold boy find life upend he sent live orphanag stopmot anim tale loss friendship young love,my life as a zucchini
952,Nature's Great Race,,Liz Bonnin,"British TV Shows, Docuseries, Science & Nature TV",epic footag captur world signific land migrat follow eleph carib zebra treacher journey,nature's great race
953,Phantom Boy,"Jean-Loup Felicioli, Alain Gagnol","Marcus D'Angelo, Vincent D'Onofrio, Fred Armisen, Jared Padalecki, Joey Camen, Brian T. Delaney, Melissa Disney, Bill Lobley, Amanda Céline Miller, Dana Snyder, Stephanie Sheh","Action & Adventure, Dramas, International Movies",boy ill allow float outsid bodi use newfound skill help cop madman who terror new york citi,phantom boy
954,PJ Masks,,"Jacob Ewaniuk, Kyle Breitkopf, Addison Holley",Kids' TV,6yearold kid live normal live day superhero night fight crime team known pj mask,pj masks
955,Sudden,,"Rui En, Romeo Tan, Rebecca Lim, Zhang Zhenhuan","International TV Shows, Romantic TV Shows, TV Dramas",car accid send lawyer spiral differ direct scrambl rebuild shatter live,sudden
956,The Code,,"Dan Spielman, Ashley Zukerman, Adele Perovic, Adam Garcia, Chelsie Preston Crayford, Paul Tassone, Dan Wyllie, Lucy Lawless, Aden Young, David Wenham","Crime TV Shows, International TV Shows, TV Dramas",investig deadli car crash journalist hacker brother stumbl conspiraci reach upper echelon govern,the code
957,The Dream Catchers,,"Rui En, Tay Ping Hui, Jesseca Liu, Shaun Chen, Elvin Ng, Nat Ho, Dawn Yeoh, Paige Chua, Zhang Zhenhuan","International TV Shows, Romantic TV Shows, TV Dramas",engin differ walk life cross path pursuit selfless dream make world better place – find love,the dream catchers
958,The Free Man,Toa Fraser,Jossi Wells,"Documentaries, Sports Movies",olymp freestyl skier jossi well learn danger extrem sport highlin help deathdefi daredevil fli frenchi,the free man
959,The Lion Woman,Vibeke Idsøe,"Rolf Lassgård, Kjersti Tveterås, Rolf Kristian Larsen, Ole Johan Skjelbred-Knutsen, Karen-Lise Mynster, Ida Ursin-Holm, Lisa Loven Kongsli, Connie Nielsen, Henrik Mestad, Kåre Conradi, Mathilde Thomine Storm","Dramas, International Movies",girl born condit caus abnorm hair growth bodi tri cope challeng differ,the lion woman
960,The President's Barber,Chan-sang Lim,"Kang-ho Song, So-ri Moon, Jae-eung Lee, Yeong-jin Jo, Byung-ho Son, Yong-soo park, Seung-soo Ryu, Ju-sang Yun, Gyu-su Jeong, Dal-su Oh","Comedies, Dramas, International Movies",person barber presid wife son tangl polit chao grip south korea late 1900,the president's barber
961,Tokyo Idols,Kyoko Miyake,,"Documentaries, International Movies, Music & Musicals",documentari follow jpop idol rio predominantli middleag fan seemingli transact interact,tokyo idols
962,Verónica,"Carlos Algara, Alejandro Martinez-Beltran","Arcelia Ramírez, Olga Segura, Sofía Garza","Dramas, Independent Movies, International Movies",reclus psychologist agre treat patient – therapist miss – remot cabin women test boundari,verónica
963,Welcome to Monster High: The Origin Story,"Stephen Donnelly, Olly Reid, Jun Falkenstein","Debi Derryberry, Cassandra Morris, Salli Saffioti, Larissa Gallagher, Cristina Milizia, Michael Sorich, Jonquil Goode, Travis Dresden, Evan Smith",Children & Family Movies,dracula daughter draculaura set creat new kind school monster kind scari good time,welcome to monster high: the origin story
964,What She Put on the Table,,"Amber An, Sun Ke-fang, Chang Yao-jen, Wang Man-chiao, Hans Chung, Chris Lee, Yan Yu-lin, Kiki Chen, Steven Chiang","International TV Shows, TV Dramas",base life tv chef fu peimei drama follow women – rich poor – fortuit cross path 1950 taiwan,what she put on the table
965,Wrong Side Raju,Mikhil Musale,"Pratik Gandhi, Kimberley Louisa McBeath, Asif Basra, Kavi Shastri, Hetal Puniwala, Ragi Jani, Makarand Shukla, Alok Gagdekar, Jayesh More, Siddharth Randeria, Kenneth Desai","Dramas, International Movies",life chauffeur parttim bootlegg take turn dramat girl approach buy illicit alcohol,wrong side raju
966,Be with Me,,"Jason Tsou, Queen Wei, River Huang, Fabien Yang, Tang Chen-Kang, Figaro Tseng","International TV Shows, Romantic TV Shows, TV Dramas",boy band beat fame tore apart year later friend exlov reunit closer,be with me
967,Be with You,,"Bobby Dou, Peijia Huang, Nylon Chen, Vivi Lee, Edison Wang, Serena Fang","International TV Shows, Romantic TV Shows, TV Dramas",reconnect girlhood crush sister live turn upsid surpris revel romant intrigu,be with you
968,Bombshell,Riccardo Pilizzeri,"Ande Cunningham, Mark Mitchinson, Mia Pistorius, Nathalie Boltt, Nathan Lovejoy, Colin Moy, Jay Simon, Coen Falke, Greta Gregory, Byron Coll",Dramas,1985 vessel protest nuclear test sunk new zealand local polic fight prove terrorist plot french alli,bombshell
969,Chatô: The King of Brazil,Guilherme Fontes,"Marco Ricca, Andrea Beltrão, Letícia Sabatella, Leandra Leal, Gabriel Braga Nunes, Paulo Betti, Marcos Oliveira, Eliane Giardini","Dramas, International Movies",romantic life media mogul assi chateaubriand depict star televis trial passion achiev judg,chatô: the king of brazil
970,Chewin' the Fat,,"Ford Kiernan, Greg Hemphill, Karen Dunbar, Mark Cox, Paul Riley","British TV Shows, TV Comedies",petti crimin dodgi decor fullbor glaswegian oddbal documentari present converg sketch parodi scottish life,chewin' the fat
971,Fall in Love with Me,,"Aaron Yan, Tia Lee, Jack Lee, Katherine Wang, Beatrice Fang, Vince Kao, Chen Bor Jeng","International TV Shows, Romantic TV Shows, TV Comedies",head struggl ad agenc find torn hotshot execut kind stranger – realiz theyr person,fall in love with me
972,Harud,Aamir Bashir,"Mohammad Amir Naji, Shahnawaz Bhat, Shamim Basharat, Salma Ashai, Mudessir Ahmed Khan, Rayes Mohiuddin","Dramas, International Movies",young kashmiri man set escap pakistan sens brother death drift aimlessli find brother camera,harud
973,Love Cheque Charge,,"George Hu, Phoebe Yuan, Hsieh Kun Da, Jay Shih, Smile Weng, Jet Chao, Jessie Chang","International TV Shows, Romantic TV Shows, TV Comedies",year make wild promis woman distress rigid businessman run decid honor word,love cheque charge
974,Masha's Spooky Stories,,,Kids' TV,masha explain there need scare thing like monster dark go new school thunder common childhood fear,masha's spooky stories
975,Much Ado About Nothing,Alejandro Fernández Almendras,"Agustín Silva, Paulina García, Daniel Alcaíno, Alejandro Goic, Luis Gnecco, Samuel Landea, Dindi Jane, Isabella Costa, Augusto Schuster, Pilar Ronderos","Dramas, Independent Movies, International Movies",carefre colleg student vicent end desper fight freedom wellconnect friend fals accus hitandrun accid,much ado about nothing
976,Murphy's Law of Love,,"Danson Tang, Chia-ying Lee, Jolin Chien, Jenna Wang, Meng-sheng Shen, Wen-lin Fang, Wei Lin, Phoebe Huang","International TV Shows, Romantic TV Shows, TV Comedies",onlin matchmak who convinc she live curs find theori life love test meet shrewd divorc expert,murphy's law of love
977,My Big Night,Álex de la Iglesia,"Raphael, Mario Casas, Pepón Nieto, Blanca Suárez, Hugo Silva, Carmen Machi, Luis Callejo, Carlos Areces, Enrique Villén, Santiago Segura, Jaime Ordoñez, Tomás Pozzi, Carolina Bang, Ana Polvorosa, Luis Fernández","Comedies, International Movies",unemploy man get job extra shoot new year eve tv special that beset crise forev,my big night
978,My Little Pony Equestria Girls: Legend of Everfree,Ishi Rudell,"Tara Strong, Rebecca Shoichet, Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Cathy Weseluck, Enid-Raye Adams, Brian Doe, Nicole Oliver","Children & Family Movies, Comedies",equestria girl human teen counterpart littl poni charact head camp everfre need littl magic help save summer,my little pony equestria girls: legend of everfree
979,Old Money,David Schalko,"Udo Kier, Sunnyi Melles, Nicholas Ofczarek, Manuel Rubey, Nora von Waldstätten, Thomas Stipsits, Ursula Strauss, Robert Palfrader, Simon Schwarz, Johannes Krisch, Lukas Miko","International TV Shows, TV Comedies, TV Dramas",backstab blackmail reveng consum dysfunct famili wealthi patriarch compet new liver cost,old money
980,Pac's Scary Halloween,,"Erin Mathews, Sam Vincent, Andrea Libman, Ashleigh Ball, Ian James Corlett, Brian Drummond, Lee Tockar, Matt Hill",Movies,sinist dr pacenstein scheme swap bodi pac halloween parti spiral cyli count pacula scrambl save pal,pac's scary halloween
981,Riphagen - The Untouchable,Pieter Kuijpers,"Jeroen van Koningsbrugge, Anna Raadsveld, Sigrid ten Napel, Peter Blok, Bob Stoop, Lisa Zweerman, Kay Greidanus, René Kortekaas, Sieger Sloot, Mark Rietman","Dramas, International Movies",biopic profil andri riphagen dutch crimin blackmail jew hide world war ii respons hundr death,riphagen - the untouchable
982,Robotech,,"Jean-Claude Ballard, Gregory Snegoff, Cam Clarke, Melissa Newman, Tony Oliver, Larry Abraham, Robert Axelrod, Robert V. Barron",Anime Series,mysteri spaceship crash pacif peopl earth work master scienc robotechnolog rebuild giant fortress,robotech
983,Someone Like You,,"Kingone Wang, Lorene Ren, Sean Lee, Nita Lei, William Liao","International TV Shows, Romantic TV Shows, TV Dramas",lose sight fiance accid man hire caregiv mysteri sound – look – like late girlfriend,someone like you
984,Umrika,Prashant Nair,"Suraj Sharma, Tony Revolori, Smita Tambe, Adil Hussain, Rajesh Tailang, Prateik Babbar, Pramod Pathak, Amit Sial, Sauraseni Maitra","Dramas, Independent Movies, International Movies",ambiti man leav small indian villag america letter home stop come brother set adventur,umrika
985,Unchained: The Untold Story of Freestyle Motocross,"Paul Taublieb, Jon Freeman",Josh Brolin,"Documentaries, Sports Movies",adrenalinerush documentari trace rise freestyl motocross arguabl world extrem sport spotlight pioneer,unchained: the untold story of freestyle motocross
986,Welcome Mr. President,Riccardo Milani,"Claudio Bisio, Kasia Smutniak, Beppe Fiorello, Remo Girone, Massimo Popolizio, Cesare Bocci, Omero Antonutti, Michele Alhaique, Franco Ravera, Patrizio Rispo, Piera Degli Esposti, Gianni Cavina","Comedies, International Movies",frustrat politician histor figur presid honest humbl man suddenli itali leader,welcome mr. president
987,When I See You Again,,"Jasper Liu, Mandy Wei, Jet Chao, Ivy Shao, Tina Chou, Kao Meng-Chieh","International TV Shows, Romantic TV Shows, TV Comedies",visit hometown rich bachelor seek reveng woman broke heart 10 year ago plan doesnt expect,when i see you again
988,Wakfu: The Quest for the Six Eliatrope Dofus,,"Fanny Bloc, Jules De Jongh, Patrick Béthune, Hugo Chandor, Adeline Chetail, Jessica Bell, Thomas Guitard, Ross Grant, Geneviève Doang",Kids' TV,year yugo team defeat qilbi ogrest cri flood amalia kingdom stop miss eliatrop dofu,wakfu: the quest for the six eliatrope dofus
989,A Stoning in Fulham County,Larry Elikann,"Ken Olin, Jill Eikenberry, Maureen Mueller, Gregg Henry, Nicholas Pryor, Noble Willingham, Peter Michael Goetz, Ron Perlman, Theodore Bikel, Olivia Burnette, Bill Allen, Brad Pitt",Dramas,reckless teen kill amish child prosecutor attempt bring youth justic despit condemn face commun,a stoning in fulham county
990,Adam: His Song Continues,Robert Markowitz,"Daniel J. Travanti, JoBeth Williams, Richard Masur, Martha Scott, Paul Regina",Dramas,child abduct murder john reve walsh fought rais nation awar problem miss children,adam: his song continues
991,Hard Lessons,Eric Laneuville,"Denzel Washington, Lynn Whitfield, Richard Masur, Akosua Busia",Dramas,drama base reallif event tell stori georg mckenna tough determin new princip notori lo angel high school,hard lessons
992,In Defense of a Married Man,Joel Oliansky,"Judith Light, Michael Ontkean, Jerry Orbach, Pat Corley, Nicholas Campbell, John Colicos, Cynthia Sikes, Johnny Galecki",Dramas,lawyer husband have affair mistress dead prime suspect – wife charg defens,in defense of a married man
993,Quiet Victory: The Charlie Wedemeyer Story,Roy Campanella II,"Pam Dawber, Michael Nouri, Bess Meyer, Peter Berg, James Handy, Kyle Chandler","Dramas, Sports Movies",high school footbal coach charli wedemey diagnos lou gehrig diseas persever lead team despit disabl,quiet victory: the charlie wedemeyer story
994,Strange Voices,Arthur Allan Seidelman,"Nancy McKeon, Valerie Harper, Stephen Macht, Tricia Leigh Fisher, Millie Perkins",Dramas,collegeag daughter suddenli begin act errat diagnos schizophrenia desper coupl seek treatment,strange voices
995,The Ryan White Story,John Herzfeld,"Judith Light, Lukas Haas, Michael Bowen, Nikki Cox, George Dzundza, Valerie Landsburg, Sarah Jessica Parker, Mitchell Ryan",Dramas,contract hiv taint blood treatment teenag hemophiliac ryan white forc fight right attend public school,the ryan white story
996,Too Young the Hero,Buzz Kulik,"Ricky Schroder, Jon DeVries, Debra Mooney, Mary-Louise Parker, Christopher Curry, Rick Warner, Tom Wood",Dramas,twelveyearold calvin manag join navi serv battl guadalcan age reveal boy sent brig,too young the hero
997,Triumph of the Heart,Richard Michaels,"Mario Van Peebles, Susan Ruttan, Lane R. Davis, Lynn Whitfield, Adam Faraizl, Polly Holliday, Jay Pennison, John Schuhmacher","Dramas, Sports Movies",drama tell tale ricki bell pro run tampa bay buccan die muscl diseas prime career,triumph of the heart
998,Unspeakable Acts,Linda Otto,"Jill Clayburgh, Brad Davis, Sam Behrens",Dramas,lauri joseph doctor interview sexual abus children lot energi track pedophil abus toddler,unspeakable acts
999,Victim of Beauty,Roger Young,"William Devane, Jeri Ryan, Michele Abrams, Nick Searcy, Linda Pierce, J. Don Ferguson, Butch Slade, Joyce Bowden-Kirby","Dramas, Thrillers",beauti pageant winner stalk serial killer kidnap sister torment famili thriller base shock true stori,victim of beauty
1000,"All's Well, End's Well (2009)",Vincent Kok,"Louis Koo, Sandra Ng Kwan Yue, Raymond Wong, Ronald Cheng, Yao Chen, Guo Tao, Heung Kam Lee, Chun Chau Ha, Miki Shum","Comedies, International Movies, Romantic Movies",bound famili rule forbid marri stubborn sister get hitch bachelor enlist help love guru woo,"all's well, end's well (2009)"
1001,Gabriel and the Mountain,Fellipe Barbosa,"João Pedro Zappa, Caroline Abras, Alex Alembe, Leonard Siampala, Tony B. Lesika, John Goodluck, Rashidi Athuman, Toney Montana, George Ngandu, Rhosinah Sekeleti, Luke Mpata, Lewis Gadson, Manuela Pacq","Dramas, Independent Movies, International Movies",drama base true stori brazilian backpack gabriel buchmann spend gap year explor africa die malawi mountain,gabriel and the mountain
1002,Lommbock,Christian Zübert,"Lucas Gregorowicz, Moritz Bleibtreu, Louis Hofmann, Wotan Wilke Möhring, Alexandra Neldel, Melanie Winigir, Mavie Hörbiger, Dar Salim, Elmar Wepper, Antoine Monot Jr.","Comedies, International Movies",find love drugfre dubai stefan return germani grab document wed old buddi kai bad habit complic thing,lommbock
1003,Love O2O,,"Shuang Zheng, Yang Yang, Rachel Momo, Bai Yu, Zheng Yecheng, Zhang He","International TV Shows, Romantic TV Shows, TV Dramas",computersci major get dump “ husband ” onlin roleplay game attract new propos game ’ s player,love o2o
1004,Medal of Honor,,"Oliver Hudson, Ben Schwartz, Paul Wesley, Aldis Hodge, Jonny Weston, Joseph Cross, Jake Abel, Derek Mio","Docuseries, TV Dramas",honor servic member courag merit award medal honor docudrama seri recreat inspir true stori,medal of honor
1005,Outlaw King,David Mackenzie,"Chris Pine, Aaron Taylor-Johnson, Florence Pugh, Billy Howle, Sam Spruell, Tony Curran, Callan Mulvey, James Cosmo, Stephen Dillane","Action & Adventure, Dramas",14thcenturi scotland robert bruce claim crown lead fierc upris win countri independ english rule,outlaw king
1006,Super Drags,,"Fernando Mendonça, Sérgio Cantú, Wagner Follare, Pabllo Vittar, Silvetty Montilla, Rapha Vélez, Sylvia Salustti, Guilherme Briggs","International TV Shows, TV Comedies",adult anim seri gay cowork lead doubl live drag queen superhero save lgbtq commun evil nemes,super drags
1007,The Queen of Flow,,"Carolina Ramírez, Carlos Torres, Andrés Sandoval, Adriana Arango, Mabel Moreno, Luis Alfredo Velasco, Pacho Rueda, Diana Wiswell, Mariana Garzón, Kiño, Sebastián Silva, Mariana Gómez, María José Vargas, Guillermo Blanco, Juan Manuel Restrepo, Alejandro Otero, David Ojalvo","Crime TV Shows, International TV Shows, Spanish-Language TV Shows",seventeen year wrongli imprison talent songwrit seek justic men caus downfal kill famili,the queen of flow
1008,Westside,,,Reality TV,struggl musician share spotlight deepli person realiti seri challeng thrill stage hollywood showcas,westside
1009,Case,,"Steinunn Ólína Þorsteinsdóttir, Magnús Jónsson, Þorsteinn Bachmann, Jóhanna Vigdís Arnardóttir, Birna Rún Eiríksdóttir, Elma Stefania Agustsdottir, Bergur Þór Ingólfsson, Halldóra Geirharðsdóttir, Arnar Jónsson, Davíð Freyr Þórunnarson, Björn Stefánsson, Nína Dögg Filippusdóttir, Hjortur Jóhann Jónsson","Crime TV Shows, International TV Shows, TV Dramas",smart lawyer drink reckless send path selfdestruct find new purpos investig teenag appar suicid,case
1010,Greatest Events of WWII in Colour,,,"British TV Shows, Docuseries, International TV Shows",attack pearl harbor dday pivot event world war ii come life vivid docuseri featur color footag,greatest events of wwii in colour
1011,Green Eggs and Ham,,"Michael Douglas, Adam Devine, Keegan-Michael Key, Eddie Izzard, Jillian Bell, Ilana Glazer, Diane Keaton, Jeffrey Wright, John Turturro, Tracy Morgan, Daveed Diggs","Kids' TV, TV Action & Adventure, TV Comedies",road trip save endang anim polar opposit guy sam learn tri new thing like friendship – certain delect dish,green eggs and ham
1012,Hit & Run,"David Palmer, Dax Shepard","Kristen Bell, Dax Shepard, Kristin Chenoweth, Tom Arnold, Bradley Cooper, Jess Rowland, Ryan Hansen, Beau Bridges, Michael Rosenbaum, David Koechner, Joy Bryant","Action & Adventure, Comedies, Romantic Movies",determin fiancé la advantag amaz opportun charli break wit protect program drive,hit & run
1013,Let It Snow,Luke Snellin,"Isabela Moner, Shameik Moore, Kiernan Shipka, Odeya Rush, Liv Hewson, Mitchell Hope, Jacob Batalon, Joan Cusack, Matthew Noszka, Anna Akana, Miles Robbins, D'Arcy Carden, Mason Gooding, Andrea De Oliveira, Victor Rivers","Comedies, Dramas, LGBTQ Movies",snowstorm hit small town cold christma eve affect friendship love live futur high school senior,let it snow
1014,Paradise Beach,Xavier Durringer,"Sami Bouajila, Tewfik Jallab, Mélanie Doutey, Hugo Becker, Kool Shen, Hubert Koundé, Seth Gueko, Sonia Couling, Chalad Na Songkhla, Flore Bonaventura, Nessbeal, Dorian N'Goumou dit Dosseh, Hache-P","Action & Adventure, Dramas, International Movies",mehdi get prison plan settl old score reconnect gang live idyl beach resort thailand,paradise beach
1015,Hope Springs Eternal,Jack C. Newell,"Mia Rose Frampton, Beth Lacke, Stony Blyden, Juliette Angelo, Lauren Giraldo, Beau Brooks, Pej Vahdat",Dramas,teen termin cancer miracul find remiss struggl attent ill gave school,hope springs eternal
1016,The Desert Bride,"Cecilia Atán, Valeria Pivato","Paulina García, Claudio Rissi","Dramas, International Movies",travel argentina new job longtim maid encount salesman open eye life beauti possibl,the desert bride
1017,The Sea of Trees,Gus Van Sant,"Matthew McConaughey, Naomi Watts, Ken Watanabe, Katie Aselton, Jordan Gavaris",Dramas,brood american unabl cope person crisi travel suicid forest near mount fuji meet fellow lost wander,the sea of trees
1018,Transfers,,"Arieh Worthalter, Brune Renault, Toinette Laquiere, Steve Tientcheu, Pili Groyne, Patrick Descamps, Patrick Raynal, Juliette Plumecocq-Mech, Sébastien Chassagne, Alexis Loret, Aissatou Diop","Crime TV Shows, International TV Shows, TV Sci-Fi & Fantasy",boat accid woodwork famili man florian wake bodi offic lead task forc illeg bodi transfer,transfers
1019,Yes or No 2,Saratswadee Wongsomphet,"Supanart Jittaleela, Sushar Manaying, Nisa Boonsantear, Apittha Khlaiudom, Apapattra Meesang","International Movies, LGBTQ Movies, Romantic Movies",longer univers girl kim pie face new hurdl relationship includ work new friend distract,yes or no 2
1020,Yes or No 2.5,Kirati Nakintanon,"Supanart Jittaleela, Pimpakan Bangchawong, Chansakorn Kittiwattanakorn, Sunanta Yoonniyom","International Movies, LGBTQ Movies, Romantic Movies",roommat wine pie live turn upsid ladi door bring past heartach new attract,yes or no 2.5
1021,My Way,Antongiulio Panizzi,"Silvio Berlusconi, Alan Friedman","Documentaries, International Movies",italian prime minist silvio berlusconi open life includ sex scandal corrupt trial friendship putin,my way
1022,U Turn,Pawan Kumar,"Roger Narayan, Shraddha Srinath, Dileep Raj, Krishna Hebbale, Ram Manjjonaath, Chethan Dsouza","International Movies, Thrillers",report hunt truth strang murder cross path young cop investig prime suspect,u turn
1023,Damnation,,"Logan Marshall-Green, Killian Scott, Sarah Jones, Chasten Harmon, Christopher Heyerdahl, Melinda Page Hamilton, Joe Adler","Crime TV Shows, TV Dramas",great depress stranger violent past pose preacher ralli farmer mount strike rural iowa commun,damnation
1024,Into the Forest,Patricia Rozema,"Ellen Page, Evan Rachel Wood, Max Minghella, Callum Keith Rennie, Michael Eklund, Wendy Crewson","Dramas, International Movies, Sci-Fi & Fantasy",near futur frighten sister fight surviv lose father deadli quietli loom apocalyps,into the forest
1025,Krisha,Trey Edward Shults,"Krisha Fairchild, Alex Dobrenko, Robyn Fairchild, Chris Doubek, Victoria Fairchild, Bryan Casserly, Chase Joliet, Atheena Frizzell, Augustine Frizzell, Bill Wise, Olivia Grace Applegate, Trey Edward Shults","Dramas, Independent Movies",10 year away famili krisha return thanksgiv bitter grudg troubl addict threaten ruin event,krisha
1026,Jerry Seinfeld: Comedian,Christian Charles,"Jerry Seinfeld, Orny Adams, Colin Quinn, Bill Cosby, Robert Klein, Chris Rock, Garry Shandling, Jay Leno, Kevin Nealon, Ray Romano",Documentaries,christian charless documentari follow establish comedian jerri seinfeld upandcom orni adam navig standup circuit,jerry seinfeld: comedian
1027,P. King Duckling,,"Marc Thompson, Benjie Randall, Courtney Shaw","Kids' TV, TV Comedies",p king dare hapless duck team best buddi wombat chumpkin wacki wild way solv problem,p. king duckling
1028,The Journey Is the Destination,Bronwen Hughes,"Ben Schnetzer, Kelly Macdonald, Sam Hazeldine, Ella Purnell, Maria Bello, Yusra Warsama",Dramas,spirit 22yearold activist photojournalist dan eldon rush frontlin danger relief effort somalian refuge biopic,the journey is the destination
1029,Virunga,Orlando von Einsiedel,,"Documentaries, International Movies",oscarnomin true stori ranger risk live save africa preciou nation park endang gorilla,virunga
1030,Burning Cane,Phillip Youmans,"Wendell Pierce, Karen Kaia Livers, Dominique McClellan, Braelyn Kelly, Emyri Crutchfield, Cynthia Capers, Erika Woods",Dramas,smalltown louisiana minist parishion cope grief alcohol crisi faith dramat charact studi,burning cane
1031,SCAMS,,"Yosuke Sugino, Tomoya Maeno, Maika Yamamoto, Junki Tozuka, Shodai Fukuyama, Ron Mizuma, Takuya Wakabayashi, Asuka Hanamura, Shuntaro Yanagi, Takashi Yamanaka, Masato Wada, Naomi Nishida, Tetta Sugimoto, Ryohei Otani","Crime TV Shows, International TV Shows, TV Dramas",hit hard lehman shock wellmean young man join phone scam oper get increasingli embroil underworld,scams
1032,Shadow,Zhang Yimou,"Deng Chao, Sun Li, Ryan Cheng, Wang Qianyuan, Hu Jun, Wang Jingchun, Guan Xiaotong, Leo Wu","Action & Adventure, Dramas, International Movies",kingdom struggl control wall citi figur rare power spin web intrigu entangl king court,shadow
1033,Let It Fall: Los Angeles 1982-1992,John Ridley,,Documentaries,documentari chronicl simmer tension broken trust la black commun polic decad rodney king riot,let it fall: los angeles 1982-1992
1034,Luccas Neto in: Summer Camp,Lucas Margutti,"Luccas Neto, Gi Alparone, Jéssica Diehl, Roni Fischer, Karol Alves, João Pessanha","Children & Family Movies, Comedies",lucca gi head world famou gymkhana camp problem bulli fun music vacat mood,luccas neto in: summer camp
1035,Seth Meyers: Lobby Baby,Neal Brennan,Seth Meyers,Stand-Up Comedy,snl alumnu subvers master latenight tv seth meyer come desk share lightheart stori life,seth meyers: lobby baby
1036,The Lovers,Azazel Jacobs,"Aidan Gillen, Melora Walters, Tyler Ross, Jessica Sula, Lesley Fera, Tracy Letts, Debra Winger","Comedies, Dramas, Independent Movies",verg divorc middleag coupl involv affair rethink marriag mean love fidel,the lovers
1037,Tune in for Love,Jung Ji-woo,"Kim Go-eun, Jung Hae-in, Park Hae-joon, Kim Guk-hee, Jung Eugene, Choi Jun-young, Yoo Yeol, Nam Mun-cheol","Dramas, International Movies, Romantic Movies",student retic teen meet bakeri 1990 tri year fate keep pull apart,tune in for love
1038,Undercover Brother 2,Leslie Small,"Michael Jai White, Vince Swann, Barry Bostwick, Laila Odom, Gary Owen, Affion Crockett, Steven Lee Johnson, Lindsay Lamb, Zac Zedalis, Cj Sykes",Comedies,belov secret agent fall deep coma bumbl brother defend commun divis polit threat,undercover brother 2
1039,Voice,,"Andrew Gregson, Khemanit Jamikorn, Nattarat Nopparattayaporn, Pat Chatborirak, Nuttanan Kunnawat, Piyawatt Nivatvongs, Chalad Na Songkhla, Saranyoo Prachakit, Thanongsak Supasap, Supasit Chinvinijkul, Phuksanunt Tanamahataweekit","Crime TV Shows, International TV Shows, TV Dramas",remak korean thriller esteem detect talent cop join forc nail killer took live love one,voice
1040,Bucket List,Tejas Prabha Vijay Deoskar,"Madhuri Dixit, Sumeet Raghvan, Renuka Shahane, Milind Pathak, Vandana Gupte, Pradeep Velankar, Shubha Khote, Resham Tipnis","Dramas, International Movies",get heart transplant 40yearold homemak pune make lifechang decis complet bucket list 20yearold donor,bucket list
1041,John Leguizamo's Latin History for Morons,,John Leguizamo,Stand-Up Comedy,oneman broadway john leguizamo find humor heartbreak trace 3000 year latin histori effort help bulli son,john leguizamo's latin history for morons
1042,Mubarakan,Anees Bazmee,"Anil Kapoor, Arjun Kapoor, Ileana D'Cruz, Athiya Shetty, Neha Sharma, Vineet Kumar Singh, Pavan Malhotra, Ratna Pathak Shah, Karan Kundra, Anil Mange, Rahul Dev, Sanjay Kapoor","Comedies, Dramas, International Movies",chao ensu orphan twin brother rais apart team eccentr unmarri uncl solut romant woe,mubarakan
1043,A Holiday Engagement,Jim Fall,"Bonnie Somerville, Shelley Long, Jordan Bridges, Sam McMurray, Haylie Duff, Sam Horrigan, Carrie Wiita, Chris McKenna, Edi Patterson, Jennifer Elise Cox","Children & Family Movies, Comedies, Romantic Movies",hilari plan hire goodlook guy act boyfriend backfir bring home holiday tri fool famili,a holiday engagement
1044,Christmas Crush,Marita Grabiak,"Rachel Boston, Jonathan Bennett, Jon Prescott, Sunny Mabrey, Julia Voth, Elizabeth Lauren Hoffman, Eileen April Boylan, Josh Crotty","Comedies, Romantic Movies",twentysometh georgia pine old boyfriend thrill second chanc love attend high school reunion,christmas crush
1045,Dear Santa,Jason Priestley,"Amy Acker, David Haydn-Jones, Patrick Creery, Gina Holden, James Dugan, Margherita Donato, Brooklynn Proulx, James D. Hopkin, Bob Irvine","Comedies, Romantic Movies",find letter mail santa girl ask new wife daddi twentysometh crystal set girl wish come true,dear santa
1046,District 9,Neill Blomkamp,"Sharlto Copley, Jason Cope, David James, Vanessa Haywood, Mandla Gaduka, Kenneth Nkosi, Eugene Khumbanyiwa, Louis Minnaar, William Allen Young, Nathalie Boltt","Action & Adventure, International Movies, Sci-Fi & Fantasy",year segreg forc labor race strand alien enlist resist movement spearhead rogu govern agent,district 9
